Captain America
Pixie
Stilt-Man (Wibur Day)
Iron Man (Ultimate)
Tony Stark
Carol Danvers
Big Wheel
Boomerang
Shocker (Herman Schultz)
Speed Demon
Illuminati
Spot
Blade
Daimon Hellstrom
Ghost Rider (Johnny Blaze)
Archangel
Baron Zemo (Helmut Zemo)
Star Brand
Echo
Brood
X-Factor
Silver Sable
Selene
Captain America (Sam Wilson)
Rhino
Husk
Alpha Flight
Grandmaster
Mockingbird
Mojo
Bastion
Hellfire Club
Sebastian Shaw
Elektra
Firebrand
Super-Adaptoid
Captain America (Ultimate)
Carnage
Giant-Man (Ultimate)
Aaron Stack
Juggernaut
Mach IV
Mr. Hyde
Songbird
Thunderbolts
Brother Voodoo
Red Hulk
Hydro-Man
Genesis
Betty Brant
Venom (Ultimate)
Maestro
Avalanche
Blizzard
Ezekiel Stane
Mandarin
Whirlwind
Sabra
Slayback
Giant Man
Lightspeed
White Tiger (Angela Del Toro)
Robbie Robertson
Invisible Woman
Madame Hydra
Mr. Negative
Gwen Stacy
Ben Grimm
Blob
Romulus
Madelyne Pryor
Carlie Cooper
ClanDestine
Cuckoo
Colossus (Ultimate)
Human Torch (Ultimate)
Iceman (Ultimate)
Rogue (Ultimate)
Curt Conners
Layla Miller
Prince of Orphans
Red She-Hulk
Gateway
Mauler
Dum Dum Dugan
Howard The Duck
Marvel Zombies
Peter Parker
The Twelve
Uatu The Watcher
Banshee (Theresa Rourke)
Jamie Braddock
Invaders
Sinister Six
Ben Parker
May Parker
Dani Moonstar
Magma (Amara Aquilla)
Sunspot
Warlock (Technarchy)
X-Man
Sub-Mariner
Union Jack (Joseph Chapman)
Purple Man
Tippy Toe
Emplate
Hammerhead
Abomination (Emil Blonsky)
Betty Ross
Doc Samson
Mole Man
Thunderbolt Ross
Arcade
Black Tom
New Warriors
Spider-Man (Ben Reilly)
Alex Power
Jack Power
Katie Power
Power Pack
Purifiers
Crystal
Medusa
Spectrum
Triton
Cannonball
Quasar (Phyla-Vell)
X-Babies
Frog Thor
Quicksilver (Age of Apocalypse)
Nick Fury (Ultimate)
Count Nefaria
Sandman
Chase Stein
Victor Mancha
Hulk (Ultimate)
Mr. Fantastic (Ultimate)
Thor (Ultimate)
Madame Masque
Mimic
Weapon Omega
Deena Pilgrim
Tiger Shark
John Jameson
Mysterio
Hawkeye (Ultimate)
Master Chief
Scarlet Witch (Ultimate)
Human Torch (Jim Hammond)
Bob, Agent of Hydra
Death
Typhoid Mary
Ultimatum
Meggan
Exodus
Johnny Blaze
Living Mummy
Werewolf By Night
Madame Web (Julia Carpenter)
Ghost Rider (Daniel Ketch)
Goliath (Bill Foster)
Rhodey
Quasar (Wendell Vaughn)
Blonde Phantom
Electro
Karen Page
Owl
Quicksilver (Ultimate)
Gorgon
Lady Bullseye
Lethal Legion
Red Ghost
Magus (Adam Warlock)
Mastermind
Toad
Two-Gun Kid
William Stryker
Sentinel
Fat Cobra
Gorilla Man
Terrax
Joseph
Surge
Gwen Stacy (Ultimate)
Mary Jane Watson (Ultimate)
Viper
Paladin
Justice
Destiny
Namora
Beyonder
Ronan
Spider-Girl (Anya Corazon)
Grey Gargoyle
Steve Rogers
Secret Warriors
Dracula
Cosmo (dog)
Gertrude Yorkes
Molly Hayes
Old Lace
Sister Grimm
Talkback (Chase Stein)
Hellcat (Patsy Walker)
Darkstar
Red Wolf
Ben Urich
Kat Farrell
Patch
Ulik
Wrecker
Penance (Robert Baldwin)
Cloud 9
Firestar
Gravity
Hardball
Thor Girl
Ka-Zar
Randall Flagg
Vindicator
Iron Fist (Bei Bang-Wen)
Doctor Doom (Ultimate)
Roland Deschain
Arachne
Jean Grey
Avengers (Ultimate)
Gladiator (Kallark)
Loa
She-Hulk (Lyra)
Titania
Frankenstein's Monster
Nighthawk
Serpent Society
Doctor Spectrum
Living Tribunal
Shaman
Snowbird
Gargoyle
Heroes For Hire
Frog-Man
Fixer (Paul Norbert Ebersol)
Umar
Mercury
Rockslide
Natasha Romanoff
Venom (Mac Gargan)
Magik (Amanda Sefton)
Azazel (Mutant)
Riptide
Magneto (Age of Apocalypse)
Rogue (Age of Apocalypse)
Silver Samurai (Age of Apocalypse)
Sunfire (Age of Apocalypse)
Wild Child (Age of Apocalypse)
Nebula
The Stranger
Blue Marvel
Jimmy Woo
The Watchers
Reavers
Ender Wiggin
Alicia Masters
Nomad
Empath
Lila Cheney
Magus (Technarch)
Aurora
Ares
Grim Reaper
Sugar Man
Barracuda
Marauders
Zzzax
Spider-Man (Noir)
Super Hero Squad
Thaddeus Ross
Firestar (Ultimate)
Jean Grey (Ultimate)
Mystique (Ultimate)
Sabretooth (Ultimate)
Unicorn
Pet Avengers
Moonstone
Bride of Nine Spiders (Immortal Weapons)
Dog Brother #1
Tiger's Beautiful Daughter
Impossible Man
Edwin Jarvis
Rick Jones
Tyrannus
Electro (Ultimate)
Mr. X
Wraith
Mentallo
Angel (Thomas Halloway)
Toro (Thomas Raymond)
Henry Peter Gyrich
Box
Crule
Ink
Ser Duncan
X-Cutioner
Zaladane
Psycho-Man
Sersi
Baron Strucker
Christian Walker
Retro Girl
Doctor Octopus (Ultimate)
Komodo (Melati Kusuma)
Beast (Ultimate)
Cyclops (Ultimate)
Magneto (Ultimate)
Storm (Ultimate)
Moira MacTaggert
Jessica Drew
Reaper
Meteorite
Jackpot
Sauron
Ozymandias
Fantastic Four (Ultimate)
Deathcry
Swordsman
Yellowjacket (Rita DeMara)
Donald Blake
Valkyrie (Samantha Parrington)
H.A.M.M.E.R.
Annihilus
Harry Osborn
Gauntlet (Joseph Green)
Hulkling
Patriot
Speed
Stature
Mariko Yashida
Starjammers
Hobgoblin (Roderick Kingsley)
Spencer Smythe
Redwing
Speedball (Robert Baldwin)
Black Cat (Ultimate)
Nomad (Rikki Barnes)
Nitro
Doctor Faustus
Hellion
Man-Wolf
Moondragon
Spider-Man (2099)
Tempest
Shadowcat
Hitman
Deviants
Eternals
Puppet Master
Xorn (Kuan-Yin Xorn)
James Buchanan Barnes
Enchantress (Amora)
Crimson Dynamo
Diablo
Black Widow (Ultimate)
Captain Britain (Ultimate)
Thunderbird (John Proudstar)
Swordsman (Jaques Duquesne)
Hairball
Korg
Maelstrom
Quasimodo
Killraven
Paper Doll
Chameleon
Hypno-Hustler
Lily Hollister
Menace
Freak
Vermin (Edward Whelan)
Zemo
Elixir
Namorita
Black Tarantula
Dakota North
John Wraith
Bushwacker
Rawhide Kid
Spider-Woman (Mattie Franklin)
Kree
Mongoose
Wrecking Crew
Slapstick
Silver Samurai
Starfox
Shi'Ar
Johnny Storm
Ezekiel
Enchantress (Sylvie Lushton)
Bulldozer
Piledriver
Thunderball
Black Knight (Sir Percy of Scandia)
Thundra
Invisible Woman (Ultimate)
Thing (Ultimate)
War Machine (Ultimate)
Black Panther (Ultimate)
Valkyrie (Ultimate)
Zarda
The Hood
Agents of Atlas
Scalphunter
Scorpion (Carmilla Black)
Bengal
Constrictor
Rage
Daily Bugle
Dark X-Men
Beetle (Abner Jenkins)
Stingray (Walter Newell)
Titanium Man (Topolov)
Fenris
Phil Sheldon
Glenn Talbot
Photon
Mandrill
Bug
Alexander Pierce
Silvermane
Detective Soap
Hellions (Squad)
Anole
Dust
Dexter Bennett
Mad Thinker
The Initiative
Masters of Evil
Trauma
Jigsaw
Eternity
Great Lakes Avengers
Spider-Ham (Larval Earth)
Ord
Scourge
Ultragirl (Earth-93060)
Wild Child
Mary Jane Watson (House of M)
Lilandra
Doctor Strange (Ultimate)
Dormammu (Ultimate)
Union Jack (Montgomery Falsworth)
Vanisher (Telford Porter)
Omega Sentinel
Chimera
Kid Colt
Shiver Man
She-Hulk (Ultimate)
Ultimo
Firebird
Sons of the Tiger
The Howling Commandos
Daredevil (Ultimate)
Green Goblin (Ultimate)
Hammerhead (Ultimate)
Harry Osborn (Ultimate)
Moon Knight (Ultimate)
Solo (James Bourne)
Prowler
Swarm
Ancient One
Firelord
Karolina Dean 
Iron Fist (Quan Yaozu)
Lei Kung, The Thunderer
Steel Serpent (Davos)
Tinkerer
Human Robot
Venus (Siren)
Blob (Ultimate)
Brotherhood of Mutants (Ultimate)
Pyro
Wasp (Ultimate)
Squadron Supreme (Earth-712)
Logan
Union Jack (Brian Falsworth)
Vulcan (Gabriel Summers)
Young X-Men
Caretaker
Manta
Mentor
Smasher (Vril Rokk)
Starbolt
M.O.D.O.G.
Molecule Man
Elite
Ma Gnuci
Molly Von Richtofen
Liz Osborn
Molten Man
Proudstar
Nuke
Stranger
Feral
Spider-Man (1602)
Pip
Holocaust (Age of Apocalypse)
Post
3-D Man
Magneto (House of M)
True Believers
Controller
GW Bridge
Marvel Apes
Lilith
Unus
Spider-Man (Marvel Zombies)
Master Mold
Iron Fist (Orson Randall)
Wendigo
Radioactive Man
Caliban
Marrow
Synch
Meltdown
Stephen Strange
Salem's Seven (Ultimate)
Killmonger
Oracle
Vin Gonzales
Obadiah Stane
Spider-Woman (Charlotte Witter)
Nightshade
Mantis
Jeryn Hogarth
The Enforcers
Franklin Storm
Dreaming Celestial
Makkari
Elloe Kaifi
Hiroim
Warbound
Boomer
Famine
Forearm
Random
War (Abraham Kieros)
Wildside
Risque
Shard
Ilyana Rasputin
Mikhail Rasputin
Anthem
Calamity
Mulholland Black
Supernaut
The Order
Veda
Leper Queen
Thanos (Ultimate)
Debrii
MVP
Armory
Night Thrasher
Wendell Rand
Brute
Giant Girl
War Machine (Parnell Jacobs)
Bedlam
Garrison Kane
Blue Shield
Newton Destine
Janus, the Nega-Man
Shang-Chi (Ultimate)
Lords of Avalon
Marvex
Phantom Reporter
Gladiator (Melvin Potter)
Mister Fear
Fantastick Four
Triathlon
Hepzibah
Lyja
Sharon Ventura
Pete Wisdom
Nocturne
Kabuki
The Fury
Chores MacGillicudy
Confederates of the Curious
Contessa (Vera Vidal)
Lightning Lords of Nepal
Lucky Pierre
Nine-Fold Daughters of Xao
Shadu the Shady
Omega Flight
Ultra-Adaptoid
Agent X (Nijo)
Tarantula (Luis Alvarez)
Guardian
Hyperion (Earth-712)
Hedge Knight
Carnage (Ultimate)
Blockbuster
Vertigo (Savage Land Mutate)
Puma
Ch'od
Corsair
Raza
Pandemic
Jack Murdock
Matthew Murdock
Angel (Ultimate)
Hellfire Club (Ultimate)
Nightcrawler (Ultimate)
Proteus (Ultimate)
Stacy X (Ultimate)
Wind Dancer
Thunderbird (Neal Shaara)
Iron Fist (Wu Ao-Shi)
Morph
Masque
Sally Floyd
Humbug
Gideon
King Cobra
Stacy X
Loners
Turbo
Earthquake
Hussar
Warstar
Nova (Frankie Raye)
Damage Control
Santa Claus
Cable (Deadpool)
Maddog
Jack O' Lantern
Tyger Tiger
Alex Wilder
Big Bertha
Shiva
Dragon Lord
Mysterio (Francis Klum)
Nextwave
Captain Stacy
Masked Marvel (Unrevealed)
Living Lightning
Silverclaw
Supreme Intelligence
Julian Keller
Tag
Nomad (Steve Rogers)
Ravenous
Captain Marvel (Monica Rambeau)
Korath
Sleeper
Beak
Lorna Dane
New X-Men
Amphibian (Earth-712)
Arcana
Blur
Inertia
Shape
Maverick (Christoph Nord)
Air-Walker (Gabriel Lan)
Jasper Sitwell
Peter Quill
Countess
Morlun
Captain America (House of M)
Roughhouse
Ancient One (Ultimate)
Clea (Ultimate)
Lizard (Ultimate)
Skrulls (Ultimate)
Wong (Ultimate)
Reavers (Ultimate)
Hulk (Marvel Zombies)
Dead Girl
X-Statix
Glorian
Talos
Tana Nile
Atlas (Team)
Kulan Gath
Skreet
Tenebrous
Miek
Thena
Zuras
Lord Hawal
Praxagora
Preak
Forgotten One
Red Shift
Stardust
Devos
Cammi
Energizer
Prism
Storm (Age of Apocalypse)
Baroness S'Bak
Goblin Queen
Mesmero
Microbe
Callisto
Agent Zero
Shadowcat (Ultimate)
Omega the Unknown
Deathstrike (Ultimate)
Professor X (Ultimate)
Toxin
Joystick
Elektra (Ultimate)
Mystique (House of M)
In-Betweener
Wither
Abyss
Abyss (Age of Apocalypse)
The Renegades
Squadron Sinister
George Stacy (Ultimate)
Yellow Claw
Sabretooth (House of M)
Vargas
Erik the Red
Blazing Skull
Texas Twister
Whiplash (Mark Scarlotti)
Dinah Soar
Doorman
Flatman
Mr. Immortal
Centennial
Major Mapleleaf
Puck (Zuzha Yu)
Skin
Doomsday Man
Shriek
Shadowcat (Age of Apocalypse)
Kate Bishop
Danny Rand
Punisher (2099)
Captain Marvel (Genis-Vell)
Captain Marvel (Phyla-Vell)
Magdalene
Arclight
Harpoon
Malcolm Colcord
Phyla-Vell
Virginia Dare
Silver Fox
The Professor
Blacklash
Wild Pack
Josiah X
Venus Dee Milo
Junta
Abomination (Ultimate)
Forge (Ultimate)
Happy Hogan
Rumiko Fujikawa
Maverick (Chris Bradley)
Killer Shrike
Cerebro
The Anarchist
Vivisector
Amora
Leech
Maggott
Vanisher (Ultimate)
Battering Ram
Bloke
La Nuit
Orphan
Plazm
U-Go Girl
Tomorrow Man
Pretty Boy
Skullbuster (Cylla Markham)
Crusher Hogan
Micromax
Justin Hammer
Amiko
Lifeguard
Slipstream
Blok
Mr. Fixit
Zaran
Genis-Vell
Crusher Hogan (Ultimate)
Cottonmouth
Chronomancer
Rocket Racer
Gargoyle (Yuri Topolov)
Sunset Bain
Switch
Tarot
King Bedlam
Carmella Unuscione
Human Cannonball
Zombie (Simon Garth)
Morgan Stark
Hannibal King
Bloodscream
M.O.D.A.M.
Senator Kelly
Ogun
Slyde
Hobgoblin (Jason Macendale)
Ken Ellis
Cargill
Green Goblin (Barry Norman Osborn)
Randall
Force Works
Wolfsbane (Age of Apocalypse)
Mother Askani
Hemingway
Morg
Vance Astro
Jubilee (Age of Apocalypse)
Shadow King (Age of Apocalypse)
Mystique (Age of Apocalypse)
Starhawk (Stakar Ogord)
Callisto (Age of Apocalypse)
Vengeance (Michael Badilino)
Scream (Donna Diego)
Unus (Age of Apocalypse)
Phalanx
Morlocks
Night Thrasher (Dwayne Taylor)
Shinobi Shaw
Silhouette
Demogoblin
American Eagle (Jason Strongbow)
Talisman (Elizabeth Twoyoungmen)
Paibok
Cerise
Revanche
Tusk
Fabian Cortez
Black Widow/Natasha Romanoff (MAA)
Terror
PsyNapse
Shalla-bal
Monster Badoon
Microchip
Bloodaxe
Green Goblin (Harry Osborn)
Calypso
Lieutenant Marcus Stone
Warhawk
Sumo
Shotgun
Felicia Hardy
Moon Knight
Dargo Ktor
Stellaris
Beef
Jetstream
Black Crow
Black Queen
Shooting Star
Ikaris
Scrambler
Wolfpack
U-Foes
Orphan-Maker
Warren Worthington III
Sym
Madripoor
Shockwave
Catseye
Roulette
Blackout
Dreadnoughts
Hate-Monger
Thunderbolt
Elements of Doom
Outlaw Kid
Mandroid
Mordo
Toad Men
Cobalt Man
Whizzer
Millie the Model
Talon
Captain Flint
Lava-Man
Blue Blade
Xavin
