Actinolite
Almandine-pyrope
Rhodolite
Andradite-grossular
Grandite (Mali garnet)
Pyrope-almandine-spessartine
Malaia garnet
Pyrope-spessartine
Umbalite
Gaspeite
Gaylussite
Gibbsite
Glaucophane
Goethite
Goosecreekite
Grandidierite
Gypsum
Gyrolite
Halite
Hambergite
Hanksite
Hardystonite
Hauyne
Helenite
Hematite
Hemimorphite
Herderite
Hexagonite
Hibonite
Hiddenite
Hodgkinsonite
Holtite
Howlite
Huebnerite
Humite
Hureaulite
Hurlbutite
Hyperitdiabas
Ilmenite
Inderite
Jade
Jadeite
Chloromelanite
Nephrite
Jasper
Jeremejevite
Kainite
KŠmmererite
Kaolinite
Kornerupine
Kutnohorite
Kurnakovite
Kyanite
Langbeinite
Lawsonite
Lazulite
Lazurite
Legrandite
Lepidolite
Leucite
Leucophanite
Linarite
Lizardite
Londonite
Ludlamite
Ludwigite
Magnesite
Malachite
Marialite-meionite
Wernerite
Marcasite
Meliphanite
Mellite
Mesolite
Microcline
Microlite
Milarite
Millerite
Mimetite
Monazite
Mordenite
Mottramite
Muscovite
Fuchsite
Musgravite
Nambulite
Narsarsukite
Natrolite
Nepheline
Neptunite
Nickeline
Nosean
Nuummite
Olivine
Opal
Fire opal
Moss opal
Painite
Palygorskite
Papagoite
Pargasite
Parisite
Pectolite
Larimar
Pentlandite
Peridot
Periclase
Perthite
Petalite
Pezzottaite
Phenakite
Phlogopite
Phosgenite
Phosphophyllite
Phosphosiderite
Piemontite
Pietersite
Plumbogummite
Pollucite
Polyhalite
Poudretteite
Powellite
Prehnite
Prismatine
Prosopite
Proustite
Psilomelane
Pumpellyite
Chlorastrolite
Purpurite
Pyrite
Pyrargyrite
Pyromorphite
Pyrophyllite
Pyroxmangite
Pyrrhotite
Quartz
Amethyst
Ametrine
Aventurine
Chalcedony
Agate
Iris agate
Onyx
Sardonyx
Bloodstone (Heliotrope)
Carnelian
Chrome chalcedony
Chrysoprase
Dendritic agate
Moss agate
Fire agate (iridescent)
Jasper
Petrified wood
Sard
Citrine
Druzy
Flint
Herkimer quartz
Milky quartz
Prasiolite
Radiolarite
Rose quartz
Rock crystal
Shocked quartz
Smoky quartz
Quartzite
Realgar
Rhodizite
Rhodochrosite
Rhodonite
Richterite
Riebeckite
Crocidolite
Rosasite
Rutile
Samarskite
Sanidine
Sapphirine
Sarcolite
Scapolite
Marialite
Meionite
Scheelite
Schizolite
Scorodite
Selenite
Sellaite
Senarmontite
Sepiolite(Meerschaum)
SŽrandite
Seraphinite
Serendibite
Serpentine subgroup
Antigorite
Bowenite
Chrysotile
Lizardite
Stichtite
Shattuckite
Shigaite
Shortite
Shungite
Siderite
Sillimanite
Simpsonite
Sinhalite
Smaltite
Smithsonite
Sodalite
Hackmanite
Sogdianite
Sperrylite
Spessartite
Sphalerite
Spinel
Ceylonite
Spodumene
Hiddenite
Kunzite
Triphane
Spurrite
Staurolite
Stibiotantalite
Stichtite
Stolzite
Strontianite
Strontium titanate
Sulfur
Sugilite
Bustamite
Richterite
Sylvite
Taaffeite
Talc
Tantalite
Tektites
Moldavite
Tephroite
Thomsonite
Thaumasite
Tinaksite
Titanite(sphene)
Topaz
Tourmaline subgroup
Achroite
Chrome
Dravite
Elbaite
Fluor-liddicoatite
Indicolite
Olenite
Paraiba
Rossmanite
Rubellite
Tremolite
Hexagonite
Triphylite
Triplite
Tugtupite
Turquoise
Ulexite
Ussingite
Vanadinite
Variscite
VŠyrynenite
Vesuvianite(idocrase)
Californite
Villiaumite
Vivianite
Vlasovite
Wardite
Wavellite
Weloganite
Whewellite
Wilkeite
Willemite
Witherite
Wollastonite
Wulfenite
Wurtzite
Xonotlite
Yugawaralite
Zektzerite
Zeolites
Analcime
Apophyllite
Chabazite
Goosecreekite
Natrolite
Scolecite
Stellerite
Stilbite
Thomsonite
Zincite
Zinnwaldite
Zircon
Jacinth
Zoisite
Tanzanite
Thulite
Zultanite
Zunyite
